id,label
113748396,BIOLOGICAL_REGION
124900888,ncRNA
124174249,BIOLOGICAL_REGION
28685,BIOLOGICAL_REGION
730061,BIOLOGICAL_REGION
122128467,BIOLOGICAL_REGION
123493223,BIOLOGICAL_REGION
123864096,BIOLOGICAL_REGION
106480767,tRNA
342538,PSEUDO
113939937,BIOLOGICAL_REGION
106481077,PSEUDO
121132703,BIOLOGICAL_REGION
111429613,PSEUDO
100422696,PSEUDO
100420831,PROTEIN_CODING
124902997,PSEUDO
123620123,BIOLOGICAL_REGION
106479587,ncRNA
106481071,BIOLOGICAL_REGION
100873671,ncRNA
112939936,BIOLOGICAL_REGION
112935947,BIOLOGICAL_REGION
106479910,PSEUDO
391744,PSEUDO
28471,BIOLOGICAL_REGION
112441449,BIOLOGICAL_REGION
114022705,BIOLOGICAL_REGION
106481886,PSEUDO
111828528,BIOLOGICAL_REGION
100129989,PSEUDO
100130342,BIOLOGICAL_REGION
100422955,ncRNA
100271028,BIOLOGICAL_REGION
407054,PSEUDO
124310612,BIOLOGICAL_REGION
106481814,BIOLOGICAL_REGION
124908465,PSEUDO
139452,PSEUDO
645957,PSEUDO
100270978,PSEUDO
106480342,ncRNA
112469015,BIOLOGICAL_REGION
124901220,PSEUDO
122094896,BIOLOGICAL_REGION
116158505,BIOLOGICAL_REGION
100847082,PSEUDO
124903110,PSEUDO
100129283,PSEUDO
111982894,BIOLOGICAL_REGION
729212,PSEUDO
123497933,BIOLOGICAL_REGION
121056763,BIOLOGICAL_REGION
100302258,tRNA
693213,ncRNA
100421349,PSEUDO
646526,PSEUDO
285053,PROTEIN_CODING
100270890,PSEUDO
494541,PSEUDO
100422936,PSEUDO
124310603,BIOLOGICAL_REGION
120807613,BIOLOGICAL_REGION
646710,PSEUDO
116216136,BIOLOGICAL_REGION
107984727,PSEUDO
326291,PSEUDO
360178,PSEUDO
121392941,BIOLOGICAL_REGION
121366073,BIOLOGICAL_REGION
124403924,BIOLOGICAL_REGION
121331341,BIOLOGICAL_REGION
28520,ncRNA
100422995,ncRNA
121627818,BIOLOGICAL_REGION
123924916,BIOLOGICAL_REGION
122056837,BIOLOGICAL_REGION
121740691,BIOLOGICAL_REGION
106480866,BIOLOGICAL_REGION
124901428,PROTEIN_CODING
122128452,BIOLOGICAL_REGION
124905120,PROTEIN_CODING
122861249,BIOLOGICAL_REGION
121740688,BIOLOGICAL_REGION
122094885,BIOLOGICAL_REGION
106481920,PSEUDO
112081401,BIOLOGICAL_REGION
108281118,PSEUDO
122756389,BIOLOGICAL_REGION
100421718,PSEUDO
105379719,PSEUDO
121725065,BIOLOGICAL_REGION
100129168,PSEUDO
124901988,BIOLOGICAL_REGION
121331338,BIOLOGICAL_REGION
122094864,BIOLOGICAL_REGION
119369039,BIOLOGICAL_REGION
123956194,BIOLOGICAL_REGION
646912,PSEUDO
123464485,BIOLOGICAL_REGION
121725197,BIOLOGICAL_REGION
110599572,BIOLOGICAL_REGION
108192211,PROTEIN_CODING
677778,PSEUDO
121740707,BIOLOGICAL_REGION
100131614,PSEUDO
100873797,BIOLOGICAL_REGION
134756,PSEUDO
646273,PSEUDO
100189346,tRNA
121838598,BIOLOGICAL_REGION
123464495,BIOLOGICAL_REGION
649458,PSEUDO
124904842,snoRNA
106479158,BIOLOGICAL_REGION
106481690,PSEUDO
122756393,BIOLOGICAL_REGION
106481192,PSEUDO
106479852,PSEUDO
100289027,PROTEIN_CODING
121603769,BIOLOGICAL_REGION
124900508,PSEUDO
100189483,tRNA
115801436,PSEUDO
115995514,BIOLOGICAL_REGION
107075174,BIOLOGICAL_REGION
100270825,PSEUDO
122152342,BIOLOGICAL_REGION
106479299,BIOLOGICAL_REGION
100873524,ncRNA
106783498,ncRNA
122128434,BIOLOGICAL_REGION
727951,PSEUDO
645398,PSEUDO
124403897,BIOLOGICAL_REGION
106481713,snoRNA
677773,PSEUDO
124906367,snoRNA
110121007,PSEUDO
100189062,tRNA
105376874,PROTEIN_CODING
112840917,BIOLOGICAL_REGION
112272583,BIOLOGICAL_REGION
106480366,BIOLOGICAL_REGION
100133147,PSEUDO
360182,PSEUDO
728315,PSEUDO
124909342,PROTEIN_CODING
124904985,ncRNA
106479414,BIOLOGICAL_REGION
101928475,PSEUDO
767567,ncRNA
122149307,BIOLOGICAL_REGION
317778,PSEUDO
112533663,BIOLOGICAL_REGION
100616283,ncRNA
108281176,BIOLOGICAL_REGION
121360,PROTEIN_CODING
23605,PSEUDO
106481179,PSEUDO
100499417,BIOLOGICAL_REGION
100500865,ncRNA
122056891,BIOLOGICAL_REGION
106479923,PSEUDO
106479639,PSEUDO
112272622,BIOLOGICAL_REGION
100421332,PSEUDO
107063542,BIOLOGICAL_REGION
124905276,ncRNA
123477713,BIOLOGICAL_REGION
116158506,BIOLOGICAL_REGION
123477806,BIOLOGICAL_REGION
116276463,BIOLOGICAL_REGION
106635528,BIOLOGICAL_REGION
112552146,BIOLOGICAL_REGION
100422892,ncRNA
124153140,BIOLOGICAL_REGION
112997569,BIOLOGICAL_REGION
106479640,PSEUDO
100423028,ncRNA
123480933,BIOLOGICAL_REGION
112841602,BIOLOGICAL_REGION
123924901,BIOLOGICAL_REGION
123477746,BIOLOGICAL_REGION
4563,PSEUDO
391765,PSEUDO
333932,PROTEIN_CODING
100873589,ncRNA
114195,PSEUDO
106481279,PSEUDO
121725139,BIOLOGICAL_REGION
7115,PSEUDO
100462865,BIOLOGICAL_REGION
79318,PROTEIN_CODING
359770,PSEUDO
113219464,PSEUDO
100616378,ncRNA
